epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.03406,0.93584,3.34202,0.9621,0.00553,0.5,0.49741,0.4456,0.68342,3.49239,0.73293,0.0002,0.0002,0.0002
2,3.69663,0.78155,1.62334,0.85051,0.00389,0.5,0.47549,0.4706,0.50488,3.38145,0.77282,0.000412092,0.000412092,0.000412092
3,5.50257,0.69386,1.1895,0.84426,0.00384,0.5,0.4975,0.48322,0.54741,3.20117,0.78646,0.000623762,0.000623762,0.000623762
4,7.14953,0.69165,1.10895,0.83561,1,0.46872,0.51351,0.49951,0.665,2.51742,0.78614,0.000835013,0.000835013,0.000835013
5,8.80985,0.66204,1.0138,0.83577,1,0.47936,0.8315,0.68923,0.73007,2.02474,0.80564,0.00104584,0.00104584,0.00104584
6,10.4588,0.66924,0.97899,0.828,0.99674,0.54792,0.84116,0.73098,0.61781,1.70473,0.77532,0.00124381,0.00124381,0.00124381
7,12.0977,0.64352,0.87,0.83662,1,0.80087,0.83799,0.68784,0.52127,1.21518,0.76622,0.00124257,0.00124257,0.00124257
8,13.749,0.60651,0.86279,0.83125,0.96943,0.82979,0.84123,0.71325,0.60976,0.76703,0.78237,0.00124134,0.00124134,0.00124134
9,15.3786,0.5596,0.76502,0.82058,0.99182,0.82909,0.8386,0.76514,0.4954,0.53639,0.77426,0.0012401,0.0012401,0.0012401
10,17.0395,0.54999,0.70342,0.82139,0.99122,0.83654,0.8438,0.76986,0.54265,0.4727,0.78054,0.00123886,0.00123886,0.00123886
11,18.6914,0.55897,0.70163,0.80841,0.98891,0.83784,0.84724,0.77285,0.5643,0.42994,0.79467,0.00123763,0.00123763,0.00123763
12,20.4641,0.55351,0.66337,0.81561,0.96608,0.98649,0.98223,0.769,0.58369,0.46441,0.76755,0.00123639,0.00123639,0.00123639
13,22.1254,0.57005,0.63814,0.81386,0.90945,0.9136,0.91145,0.69835,0.65945,0.39785,0.78562,0.00123515,0.00123515,0.00123515
14,23.7801,0.55617,0.62478,0.81574,0.96179,0.97245,0.96846,0.77424,0.52625,0.3447,0.77162,0.00123391,0.00123391,0.00123391
15,25.4344,0.51079,0.58059,0.80526,0.97054,0.96086,0.97079,0.77227,0.61866,0.39855,0.76737,0.00123268,0.00123268,0.00123268
16,27.0952,0.58437,0.57711,0.81889,0.99178,0.83784,0.8851,0.77016,0.50588,0.30993,0.77375,0.00123144,0.00123144,0.00123144
17,28.7312,0.53564,0.5523,0.8227,0.99543,0.83108,0.84091,0.7354,0.56385,0.38999,0.7728,0.0012302,0.0012302,0.0012302
18,30.3664,0.4896,0.53339,0.81606,0.93546,0.8772,0.90021,0.7696,0.49969,0.33239,0.76963,0.00122896,0.00122896,0.00122896
19,32.0004,0.46792,0.50694,0.80087,0.99243,0.8308,0.86516,0.77363,0.47851,0.35606,0.77324,0.00122773,0.00122773,0.00122773
